id,plot,exposition,side,block,location,locationAbb,locationYear,longitude,latitude,riverkm,distanceRiver,constructionYear,botanist,conf.low,conf.high,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,B,C,D,comparison,presabu
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.3333,0.1905,0.5238,1719,presence
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.4737,0.2105,0.6842,1721,presence
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.0783,0.006,0.0843,1718,abundance
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0,0.2667,0.2667,1819,abundance
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.015,0.0187,0.0337,1921,abundance
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.045,0.2432,0.2883,1719,abundance
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.0538,0.2556,0.3094,1721,abundance
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.1481,0.037,0.1852,1718,presence
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.2,0.1333,0.3333,1819,presence
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.1364,0.1818,0.3182,1921,presence
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.2549,0.0784,0.3333,1719,presence
