id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf_low,conf_high,n
X23_m_2017,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,-0.8399975834439426,NA,NA,NA,NA,2017,2008,9,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,64.3,27,Jakob_Huber_Simon_Reith_Jakob_Strak,89,89,4
X23_m_2018,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,0.44985521022704256,NA,NA,NA,2018,2008,10,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,46.7,36,Jakob_Huber,90,90,4
X23_m_2019,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,NA,-0.8399975834439426,NA,NA,2019,2008,11,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,81.5,41,Jakob_Huber_Linda_Weggler,91,91,4
X23_m_2021,23,12,Pfelling,PFE,PFE-2008,5416175,4555683,2305,730,NA,NA,NA,-0.8399975834439426,0.44985521022704256,2021,2008,13,south,water,0.6912,-0.0516,0.8196,-0.7514,-0.1115,0.3944,68.7,30,Markus Bauer,92,92,4
X24_m_2017,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,-0.8400324809982246,NA,NA,NA,NA,2017,2008,9,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,58.8,30,Jakob_Huber_Simon_Reith_Jakob_Strak,93,93,4
X24_m_2018,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,0.44984542088769497,NA,NA,NA,2018,2008,10,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,56.1,24,Jakob_Huber,94,94,4
X24_m_2019,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,NA,-0.8400324809982246,NA,NA,2019,2008,11,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,86.5,31,Jakob_Huber_Linda_Weggler,95,95,4
X24_m_2021,24,12,Pfelling,PFE,PFE-2008,5416180,4555677,2305,728,NA,NA,NA,-0.8400324809982246,0.44984542088769497,2021,2008,13,north,land,0.5672,0.0244,1.02,-0.7514,-0.1115,0.3944,69.5,25,Markus Bauer,96,96,4
X27_m_2017,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,-0.7525928346832432,NA,NA,NA,NA,2017,2011,6,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,43.8,30,Jakob_Huber_Simon_Reith,105,105,4
X27_m_2018,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,0.6024443014866069,NA,NA,NA,2018,2011,7,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,78.9,30,Jakob_Huber,106,106,4
