id;table34_3;table34_2;table33_4;table33_3;table33_2;ruderalIndicator;leanIndicator_bk;nitrogenIndicator;ffh6210;ffh6510;targetArrhenatherion;targetGrass;targetHerb;target;rlb;rlg;speciesRichnness;graminoidCovratio;location;RW;HW;constructionYear;pH;Corg;organic;nitrogen;cnRatio;CaCO3;sand;silt;clay;phosphorous;phosphorousClass;potassium;magnesium;surveyYear;conf.low;conf.high;tarRichratio;cwmAbuN;cwmAbuF;cwmAbuT
X21_m_2017;0;0;2;5;0;0;15;0;1;4;1;5;9;NA;1;2;15;0,946;Pfelling;4555538;5415944;2008;7,31;2,446;4,21;0,251;9,7;4,2;27,2;46,4;26,4;1;A;6;34;2017;59;59;NA;1,487;2,377;6,813
X21_m_2018;0;0;2;3;0;0;13;0;1;3;1;5;8;NA;2;3;13;0,967;Pfelling;4555538;5415944;2008;7,31;2,446;4,21;0,251;9,7;4,2;27,2;46,4;26,4;1;A;6;34;2018;60;60;NA;1,847;2,514;5,287
X21_m_2019;0;1;2;5;1;2;23;1;1;3;0;5;12;NA;1;2;23;0,397;Pfelling;4555538;5415944;2008;7,31;2,446;4,21;0,251;9,7;4,2;27,2;46,4;26,4;1;A;6;34;2019;61;61;NA;3,475;3,538;6,517
X22_m_2017;0;0;2;5;0;0;19;0;3;6;1;4;14;NA;0;1;19;0,790;Pfelling;4555531;5415946;2008;7,35;1,786;3,07;0,190;9,4;6,5;41,9;38,9;19,2;2;A;8;21;2017;62;62;NA;3,906;3,857;5,942
X22_m_2018;0;0;3;4;0;0;15;0;3;4;1;5;10;NA;0;1;15;0,853;Pfelling;4555531;5415946;2008;7,35;1,786;3,07;0,190;9,4;6,5;41,9;38,9;19,2;2;A;8;21;2018;63;63;NA;4,916;5,768;5,684
X22_m_2019;0;0;3;7;0;0;21;0;3;6;0;5;15;NA;0;1;21;0,729;Pfelling;4555531;5415946;2008;7,35;1,786;3,07;0,190;9,4;6,5;41,9;38,9;19,2;2;A;8;21;2019;64;64;NA;6,310;5,368;5,126
X23_m_2017;1;0;3;5;1;1;27;0;3;8;3;8;16;NA;1;3;27;0,793;Pfelling;4555683;5416175;2008;7,26;1,969;3,39;0,199;9,9;7,4;55,8;28,9;15,3;3;A;7;16;2017;65;65;NA;5,455;4,436;5,672
X23_m_2018;1;0;5;6;1;0;36;1;5;12;3;13;21;NA;1;3;36;0,660;Pfelling;4555683;5416175;2008;7,26;1,969;3,39;0,199;9,9;7,4;55,8;28,9;15,3;3;A;7;16;2018;66;66;NA;1,909;2,608;6,750
X23_m_2019;1;0;5;8;1;2;41;1;6;12;2;12;24;NA;1;3;41;0,557;Pfelling;4555683;5416175;2008;7,26;1,969;3,39;0,199;9,9;7,4;55,8;28,9;15,3;3;A;7;16;2019;67;67;NA;3,727;4,176;6,325
X24_m_2017;2;0;5;7;1;0;30;0;6;14;4;7;22;NA;0;1;30;0,731;Pfelling;4555677;5416180;2008;7,27;2,155;3,71;0,219;9,8;12,5;51,4;32,5;16,1;2;A;8;16;2017;68;68;NA;1,251;2,197;6,937
X24_m_2018;0;0;6;4;0;0;24;1;3;8;3;8;14;NA;0;1;24;0,856;Pfelling;4555677;5416180;2008;7,27;2,155;3,71;0,219;9,8;12,5;51,4;32,5;16,1;2;A;8;16;2018;69;69;NA;4,593;4,243;5,628
X24_m_2019;0;0;5;7;0;0;31;0;4;10;2;9;20;NA;0;1;31;0,508;Pfelling;4555677;5416180;2008;7,27;2,155;3,71;0,219;9,8;12,5;51,4;32,5;16,1;2;A;8;16;2019;70;70;NA;5,035;4,769;5,329
X25_m_2017;0;0;4;4;0;1;24;1;2;10;2;6;14;NA;0;0;24;0,716;Irlbach_Ortsschutz;4554430;5412276;2011;7,33;1,730;2,98;0,164;10,5;5,2;53,8;31,6;14,6;2;A;9;13;2017;71;71;NA;5,518;4,730;5,963
X25_m_2018;0;0;2;4;0;0;18;0;2;4;1;3;14;NA;0;1;18;0,863;Irlbach_Ortsschutz;4554430;5412276;2011;7,33;1,730;2,98;0,164;10,5;5,2;53,8;31,6;14,6;2;A;9;13;2018;72;72;NA;2,096;2,747;6,432
