name,X682828,X682962,X682963,X682986,X699873,X699880,X701688,X702012,X702034,X702098,X702297,X702304,X702334,X702403,X702530,X702594,X702615,X702619,X702735,X703673,X706901,X706914,X711028
Peucedanum_oreoselinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Phleum_phleoides,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Phleum_pratense,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,68,0,13,0,0,0,0,13
Pilosella_officinarum,2,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Pimpinella_major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Pimpinella_saxifraga,2,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Pinus_sylvestris,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantago_lanceolata,0,8,2,3,2,0,0,3,13,3,3,13,3,3,3,2,3,3,13,0,3,3,0
Plantago_media,0,3,3,2,0,0,2,0,0,0,0,0,3,0,0,0,0,13,13,0,3,0,0
Poa_angustifolia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0
Poa_annua,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13
Poa_palustris,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa_pratensis,0,0,0,0,0,0,0,3,0,38,3,0,3,3,3,13,2,3,2,0,0,0,13
Poa_trivialis,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,13,3,3,2,0,0,13,13
Polygala_comosa,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Polygonatum_odoratum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_cinerea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_heptaphylla,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_reptans,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Potentilla_tabernaemontani,3,8,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_grandiflora,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_vulgaris,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_acris,0,0,0,0,0,0,2,2,0,13,2,3,2,2,3,0,3,3,2,0,2,3,13
Ranunculus_auricomus,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_bulbosus,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ranunculus_repens,0,0,0,0,0,0,0,3,3,2,0,0,2,0,0,1,0,3,0,0,0,2,3
Ranunculus_walo-kochii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rhinanthus_alectorolophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Rhinanthus_minor,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,2,0,0
Rhinanthus_serotinus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumex_acetosa,0,0,0,0,0,0,0,3,1,13,2,0,0,3,3,1,3,3,3,0,2,3,13
Rumex_crispus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0
Rumex_thyrsiflorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Salvia_pratensis,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,38,3,3,0,0
Sanguisorba_minor,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Sanguisorba_officinalis,0,0,0,0,0,0,0,68,68,13,0,0,2,2,0,0,0,0,0,0,0,38,0
Saxifraga_granulata,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Scabiosa_columbaria,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scleranthus_annuus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorzoneroides_autumnalis,0,0,0,0,0,0,0,0,0,3,2,0,68,3,0,0,0,13,0,0,0,0,0
Securigera_varia,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum_acre,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum_album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Sedum_rupestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sedum_sexangulare,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selinum_carvifolia,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesleria_albicans,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Silaum_silaus,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0
Silene_flos-cuculi,0,0,0,0,0,0,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Silene_nutans,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silene_otites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Stachys_recta,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Stellaria_graminea,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Stellaria_media,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
Symphytum_officinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Taraxacum_campylodes,0,0,0,0,0,0,0,3,2,13,3,38,3,38,13,13,38,68,38,0,13,3,13
Teucrium_chamaedrys,0,8,3,8,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Teucrium_montanum,0,3,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Thymus_praecox,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus_pulegioides,2,5,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Tragopogon_pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0
Trifolium_campestre,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium_dubium,0,0,0,0,0,0,0,0,2,0,0,13,0,0,13,0,0,0,0,0,3,0,0
Trifolium_pratense,0,3,2,3,0,0,2,3,3,13,0,38,3,3,13,0,3,13,3,0,13,2,3
Trifolium_repens,0,8,0,0,0,0,0,13,13,0,0,38,3,13,0,3,0,13,2,0,0,0,13
Trisetum_flavescens,0,0,0,0,0,0,2,2,0,0,3,38,0,38,3,0,88,68,3,0,0,0,0
Urtica_dioica,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Valeriana_officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Verbascum_lychnitis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,13
Veronica_austriaca,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Veronica_chamaedrys,0,0,0,0,0,0,2,2,2,0,2,13,0,3,3,0,3,3,3,0,0,0,13
Veronica_serpyllifolia,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica_spicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Vicia_cracca,0,0,0,0,0,0,2,0,0,13,0,3,3,0,2,0,0,0,0,0,0,2,0
Vicia_hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Vicia_sativa,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicia_sepium,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,2,0,0,0,0
Vicia_tetrasperma,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Viola_hirta,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
