plot,block,comparison,pool,presabu,exposition,orientation,pc1_soil,pc2_soil,pc3_soil,location,location_abb,location_construction_year,river_km,river_distance,construction_year,b,c,d
05,3,1719,all,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.6,0.2222,0.8222
05,3,1721,all,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.675,0.125,0.8
05,3,1718,all,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.6364,0.1822,0.8186
05,3,1819,all,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.0586,0.5532,0.6117
05,3,1921,all,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.5597,0.0453,0.605
05,3,1719,all,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.4203,0.4723,0.8926
05,3,1721,all,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.7207,0.2456,0.9662
06,3,1718,target,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.2143,0.4286,0.6429
06,3,1819,target,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.0588,0.0588,0.1176
06,3,1921,target,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.075,0.225,0.3
06,3,1719,target,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.1429,0.3571,0.5
06,3,1721,target,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.0294,0.3824,0.4118
06,3,1718,target,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.3813,0.4741,0.8554
06,3,1819,target,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.1955,0.3042,0.4997
06,3,1921,target,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.5025,0.2349,0.73740000000000006
06,3,1719,target,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.3197,0.5191,0.8388
06,3,1721,target,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.2815,0.2095,0.491
06,3,1718,all,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.2083,0.375,0.5833
06,3,1819,all,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.0909,0.0727,0.1636
06,3,1921,all,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.0635,0.2063,0.2698
06,3,1719,all,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.1702,0.3191,0.4894
06,3,1721,all,presence,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.1071,0.3929,0.5
06,3,1718,all,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.3276,0.5309,0.8586
06,3,1819,all,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.1814,0.2435,0.4249
06,3,1921,all,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.4351,0.2202,0.6553
06,3,1719,all,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.2898,0.5519,0.8417
06,3,1721,all,abundance,north,land,-0.3712,0.9787,-0.94,Oebling,OEB,OEB-2012,2316,222.89,2012,0.2621,0.312,0.5741
09,5,1718,target,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.4286,-0,0.4286
09,5,1819,target,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0,0.2,0.2
09,5,1921,target,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.4,0.2,0.6
